,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23%,7.42%,4.03%,1.92%,1.31%,1.38%,0.15%,0.83%,0.45%,0.06%,0.06%,0.24%,0.02%,0.03%,0.10%,0.28%,0.46%,0.43%,0.15%,1.32%,0.47%,0.97%,2.61%,5.37%,3.50%,2.26%,0.87%,0.87%,1.34%,0.66%,0.79%,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68%,1.75%,5.58%,5.54%,0.58%,0.67%,0.04%,0,0.17%,0.71%,0.34%,0.13%,0.24%,0.17%,0.27%,0.47%,0.17%,0.88%,0.83%,3.35%,5.60%,4.52%,1.55%,3.13%,3.42%,1.33%,0.81%,0.36%,0.66%,0.56%,0.74%,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56%,3.36%,0.48%,1.59%,0.63%,0.22%,0.79%,0.24%,0.17%,0.60%,0.32%,0.21%,0.27%,0.22%,0.62%,0.24%,0.57%,0.74%,0.96%,10.92%,2.44%,2.14%,3.60%,10.94%,9.00%,4.24%,2.37%,1.79%,4.07%,2.31%,2.72%,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27%,11.97%,6.53%,3.70%,1.67%,1.62%,1.45%,1.56%,0.32%,0.81%,1.37%,1.50%,0.58%,0.36%,0.34%,0.41%,0.14%,0.11%,1.18%,0.90%,0.19%,0.11%,5.30%,9.04%,7.55%,4.05%,2.36%,1.78%,3.25%,2.76%,2.14%,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76%,4.44%,1.59%,0.38%,0.03%,0.63%,0.98%,0.28%,0.90%,0.15%,0.71%,0.41%,0.67%,0.82%,0.62%,0.53%,1.00%,0.28%,0.41%,0.77%,0.56%,1.23%,3.52%,5.83%,6.08%,4.00%,1.82%,1.61%,2.99%,2.18%,1.57%,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.69%,12.36%,7.07%,0.72%,0.09%,1.11%,1.00%,0.75%,0.19%,0.30%,0.17%,0.15%,0.03%,1.40%,0.91%,1.28%,0.37%,3.99%,1.26%,0.04%,0.88%,4.39%,4.74%,9.78%,9.44%,6.87%,3.81%,2.61%,6.07%,3.61%,3.15%,0,0,0
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93%,14.83%,9.18%,3.79%,2.71%,0.36%,0.04%,0.56%,0.53%,0.53%,1.22%,0.68%,0.56%,0.29%,0,0.17%,0.23%,1.77%,0.88%,0.64%,2.88%,5.16%,6.07%,7.03%,6.37%,4.25%,1.49%,0.98%,3.30%,1.92%,1.44%,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43%,2.55%,3.46%,2.26%,0.77%,0.12%,0.66%,0.19%,0.34%,1.24%,1.52%,0.41%,0.12%,0.12%,0.17%,0.41%,0.03%,1.97%,1.28%,4.68%,0.71%,1.47%,3.93%,5.73%,5.07%,2.93%,1.86%,1.51%,1.94%,1.77%,1.52%,0,0,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25%,3.36%,4.73%,5.57%,2.79%,1.66%,0.60%,0.51%,0.34%,0.15%,0.34%,0.17%,0.10%,0.15%,0.09%,0.45%,0.63%,0.80%,1.79%,4.96%,8.06%,2.98%,0.60%,0.43%,0.10%,0.21%,0.50%,0.06%,0.09%,0.28%,0.24%,0,0,0
513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32%,1.52%,1.26%,2.52%,0.80%,1.16%,0.41%,0.21%,0.60%,0.73%,0.79%,0.02%,0.29%,0.10%,0.07%,0.04%,0.66%,0.03%,3.31%,3.23%,1.78%,0.48%,1.71%,2.60%,2.41%,1.77%,1.00%,1.30%,1.85%,1.43%,1.20%,0,0,0
